0011 0100 0001 0001 0000 0000 0000 0111	1	1 0001	0000 0000 0000 0000 0000 0000 0000 0111	0	0 0001	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0001 0101 0000 0000 0000 0100	1	1 0101	0000 0000 0000 0000 0000 0000 0000 0100	0	0 0001	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0001 1001 0000 0000 0000 0000	1	1 1001	0000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0001 0111 0000 0000 0001 0100	1	1 0111	0000 0000 0000 0000 0000 0000 0001 0100	0	0 0101	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0011 0000 0000 0000 0010	1	0 0011	0000 0000 0000 0000 0000 0000 0000 0010	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0010 0000 0000 0000 0001	1	0 0010	0000 0000 0000 0000 0000 0000 0000 0001	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 1010 0000 0000 0001 1111	1	0 1010	0000 0000 0000 0000 0000 0000 0001 1111	0	0 0111	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 1111 0000 0000 0000 1110	1	0 1111	0000 0000 0000 0000 0000 0000 0000 1110	0	0 0011	0000 0000 0000 0000 0000 0000 0000 0000
0000 0001 0000 1110 0010 0000 0010 0001	1	0 0100	0000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0001 0000 1000 1101 0000 0000 0001 0000	0	0 1101	0000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
